urn:cts:perslit:babataher.2beytiha:120	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۰"		ز عشقت آتشی در بوته دیرم%در آن آتش دل و جان سوته دیرم||سگت ار پا نهد بر چشمم ای دوست%بمژگان خاک راهش رو ته دیرم
urn:cts:perslit:babataher.2beytiha:121	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۱"		بسر شوق سر کوی ته دیرم%بدل مهر مه روی ته دیرم||بت من کعبهٔ من قبلهٔ من%ته ای هر سو نظر سوی ته دیرم
urn:cts:perslit:babataher.2beytiha:122	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۲"		هزاران غم بدل اندوته دیرم%هزار آتش بجان افروته دیرم||بیک آه سحر کز دل برآرم%هزاران مدعی را سوته دیرم
urn:cts:perslit:babataher.2beytiha:123	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۳"		زعشقت آتشی در بوته دیرم%در آن آتش دل و جان سوته دیرم||سگت ار پا نهد بر چشمم ایدوست%بمژگان خاک پایش روته دیرم
urn:cts:perslit:babataher.2beytiha:124	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۴"		دلی نازک بسان شیشه دیرم%اگر آهی کشم اندیشه دیرم||سرشکم گر بود خونین عجب نیست%مو آن نخلم که در خون ریشه دیرم
urn:cts:perslit:babataher.2beytiha:125	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۵"		زهجرانت هزار اندیشه دیرم%همیشه زهر غم در شیشه دیرم||ز نا سازی بخت و گردش چرخ%فغان و آه و زاری پیشه دیرم
urn:cts:perslit:babataher.2beytiha:126	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۶"		مو آن رندم که عصیان پیشه دیرم%بدستی جام و دستی شیشه دیرم||اگر تو بیگناهی رو ملک شو%من از حوا و آدم ریشه دیرم
urn:cts:perslit:babataher.2beytiha:127	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۷"		بسر غیر ته سودائی ندیرم%بدل جز ته تمنائی ندیرم||خدا دونه که در بازار عشقت%بجز جان هیچ کالائی ندیرم
urn:cts:perslit:babataher.2beytiha:128	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۸"		بغیر ته دگر یاری ندیرم%به اغیاری سر و کاری ندیرم||بدکان ته آن کاسد متاعم%که اصلا روی بازاری ندیرم
urn:cts:perslit:babataher.2beytiha:129	babataher		2beytiha	"
دوبیتی شمارهٔ ۱۲۹"		همه عالم پر از کرد چه سازم%چو مو دلها پر از درد چه سازم||بکشتم سنبلی دامان الوند%همواز طالعم زرد چه سازم
