urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab09.5	hojviri		kashfol-mahjoob	"
۴- ابوالحسن علی بن ابی طالب، کرّم اللّه وجهه"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab09	hojviri		kashfol-mahjoob	"
بابٌ فی ذکر أئمَّتِهم من الصَّحابَةِ و التّابعینَ و مُتابِعیهم، رضی اللّه عنهم أجمعین"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.1	hojviri		kashfol-mahjoob	"
بابٌ فی ذکر أئمَّتِهِم من اهل البیت"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.2	hojviri		kashfol-mahjoob	"
۱- ابومحمد الحسن بن علی، کرّم اللّه وجهه"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.3	hojviri		kashfol-mahjoob	"
۲- ابوعبداللّه الحسین بن علی بن ابی طالب، رضی اللّه عنهما"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.4	hojviri		kashfol-mahjoob	"
۳- ابوالحسن علی بن الحسین بن علی بن ابی طالب، رضی اللّه عنهم"		هذَا الّذی تَعْرِفُ البَطْحاءُ وَطْأَتَهُ%والبیتُ یعرِفُه و الحِلُّ وَالْحَرَمُ||هذَا بنُ خیرِ عبادِ اللّه کُلِّهُمُ%هذَا التّقیُّ النّقیُّ الطّاهِرُ الْعَلَمُ||هذَا ابنُ فاطمةِ الزّهراءِ، وَیْحَکُمُ%وَابنُ الوصیِّ علیٍّ خیرُکم قَدَمُ||إذا رَأَتْهُ قُرَیشٌ قالَ قائلُها%إلی مَکارمِ هذا یَنْتَهی الکَرَمُ||یُنْمَی إلی ذِرْوةِ العزِّ الَّتی قَصُرَتْ%عَنْ نَیْلِها عَرَبُ الإسلامِ و العجمُ||مَنْ جَدُّه دانَ فضلُ الأنبیاءِ لَه%و فضلُ اُمّتهِ دانَتْ له الأمَمُ||یَنْشقُّ نُورُ الدّجی عَن نورِ طَلْعَتِه%کَالشَّمْسِ ینجابُ عَنْ إشْراقِهَا الظُّلَمُ||یکادُ یُمْسِکُه عِرْفانَ راحتِه%رُکنُ الحطیم إذا ما جاءَ یَسْتَلِمُ||یُغْضی حیاءً و یُغْضی مِنْ مَهابَتهِ%فَما یُکَلَّمُ إلَّا حینَ یَبْتَسِمُ||فی کفِّه خَیْزُروانٌ ریحُها عَبِقٌ%مِنْ کفِّ أروعَ فی عِرْنینِهِ شَمَمُ||مُشْتَقُّةٌ مِنْ رَسُولِ اللّهِ نَبْعَتُه%طابَتْ عناصِرُه والخِیمُ والشِّیَمُ||کِلْتا یَدَیْهِ غِیاثٌ عَمَّ نَفْعُهُما%تُستوکَفانِ وَلایَعْرُوهُما العَدَمُ||عمّ البریّةَ بِالاحسانِ فَانْقَشَعَتْ%عنهُ الغیابةُ والإملاقُ والظُّلَمُ||لایَسْتَطیعُ جوادٌ بُعْدَ غایَتِهم%ولایُدانِیهِم قومٌ وَ إنْ کَرُموا||هُمُ الغُیوثُ إذا ما أزمةٌ أَزَمَتْ%وَالأُسْدُ أسْدُ الشَّری و البأس یحتدمُ||مِنْ مَعْشَرٍ حبُّهُم دینٌ وَبُغْضُهُمُ%کُفْرٌ وَ قُرْبُهم مَنْجیً و مُعْتَصَمُ||ان عُدَّ اهلُ التُّقی کانُوا ائمّتَهم%اوقیلَ مَنْ خیرُ أهلِ الأرضِ قیلَ هُمُ»
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.5	hojviri		kashfol-mahjoob	"
۴- ابوجعفر محمدبن علی بن احلسین بن علی بن ابی طالب، کرّم اللّه وجهه و رضی عنهم"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10.6	hojviri		kashfol-mahjoob	"
۵- ابومحمدجعفربن محمدبن علی بن الحسین بن علی، الصادق، رضوان اللّه علیهم اجمعین"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab10	hojviri		kashfol-mahjoob	"
بابٌ فی ذکر أئمَّتِهِم من اهل البیت"		
urn:cts:perslit:hojviri.kashfol-mahjoob:kmbab11.1	hojviri		kashfol-mahjoob	"
۱- اویس قرنی، رضی اللّه عنه"		
